District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,New Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,Science,Science Change from Last Year,Science Change Value,Oregon Science Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average
2063,Adel SD 21,498,Adel Elementary School,Jack Thompson,Grade(s) 4-8,E,Lake,7,*,1,*,*,*,2,0,0,7%,Yes,3.5,Decrease,6,25,*,No Change,,80%,*,*,No Change,,55%,*,No Change,,41%,*,No Change,,64%,,,,,,,,,,,,
2113,Adrian SD 61,707,Adrian Elementary School,William Ellsworth,Grade(s) K-8,E,Malheur,215,11%,2,20%,61%,98%,9,7,0,12%,No,22,Decrease,1,25,88%,Decrease,4%,80%,Average,73%,Decrease,4%,54%,56%,Decrease,8%,42%,>95%,No Change,,64%,,,,,,,,,,,,
2113,Adrian SD 61,708,Adrian High School,Kevin Purnell,Grade(s) 9-12,H,Malheur,96,10%,2,16%,47%,100%,7,0,0,10%,No,13.5,Increase,1,25,78%,Decrease,9%,80%,,,,,,,,,,,,,,>95%,No Change,,85%,100%,Increase,6%,77%,94%,Decrease,6%,83%
1899,Alsea SD 7J,17,Alsea Charter School,Marc Thielman,Grade(s) K-12,H,Benton,162,*,4,22%,70%,93%,13,8,0,48%,Yes,25,Increase,15,25,56%,Decrease,12%,80%,,,,,,,,,,,,,,90%,No Change,,85%,92%,Increase,42%,77%,69%,Decrease,4%,83%
2252,Amity SD 4J,1208,Amity Elementary School,Danielle Ludwick,Grade(s) K-5,E,Yamhill,355,8%,3,13%,48%,96%,20,7,0,16%,No,23.5,Increase,2,25,85%,Increase,1%,80%,Average,50%,Increase,11%,51%,43%,Increase,1%,44%,68%,Increase,21%,65%,,,,,,,,,,,,
2252,Amity SD 4J,1210,Amity High School,Chris Daniels,Grade(s) 9-12,H,Yamhill,262,7%,8,14%,39%,94%,17,3,1,11%,No,19,No Change,,25,73%,Increase,2%,80%,,,,,,,,,,,,,,89%,Increase,9%,85%,81%,Decrease,8%,77%,93%,Increase,5%,83%
2252,Amity SD 4J,1209,Amity Middle School,David Lund,Grade(s) 6-8,M,Yamhill,183,8%,3,14%,48%,93%,11,3,1,10%,No,20.5,Increase,1,25,77%,Increase,2%,80%,Average,35%,Decrease,11%,56%,24%,Decrease,1%,41%,65%,Increase,1%,61%,,,,,,,,,,,,
2252,Amity SD 4J,4505,Eola Hills Charter School,Nicole Wollenweber,Grade(s) 1-12,H,Yamhill,36,*,1,28%,*,100%,4,1,0,31%,Yes,10,No Change,,25,43%,Increase,7%,80%,,,,,,,,,,,,,,*,No Change,,85%,33%,Decrease,30%,77%,63%,Decrease,23%,83%
2111,Annex SD 29,705,Annex Charter School,Steve Bishop,Grade(s) K-8,E,Malheur,83,18%,2,*,>95%,91%,5,3,0,33%,No,17,Decrease,3,25,78%,Decrease,2%,80%,Average,30%,Increase,6%,54%,25%,Increase,9%,42%,8%,Decrease,15%,64%,,,,,,,,,,,,
2005,Arlington SD 3,323,Arlington Community Charter School,Kevin Hunking,Grade(s) K-12,H,Gilliam,149,*,2,13%,53%,98%,12,0,0,14%,No,10,No Change,,25,76%,Increase,3%,80%,,,,,,,,,,,,,,>95%,No Change,,85%,89%,Increase,64%,77%,50%,Decrease,19%,83%
2115,Arock SD 81,711,W W Jones Elementary School,Vicki McConnell,Grade(s) K-8,E,Malheur,17,*,2,*,*,93%,2,1,0,17%,Yes,8.5,Increase,2,25,87%,Increase,8%,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
2041,Ashland SD 5,381,Ashland High School,Erika Bare,Grade(s) 9-12,H,Jackson,973,<5%,11,11%,28%,75%,51,12,3,20%,No,21,Decrease,2,25,75%,Decrease,3%,80%,,,,,,,,,,,,,,>95%,Increase,>4%,85%,88%,No Change,,77%,95%,Decrease,2%,83%
2041,Ashland SD 5,380,Ashland Middle School,Steve Retzlaff,Grade(s) 6-8,M,Jackson,570,<5%,7,14%,34%,74%,30,12,1,19%,No,24,Decrease,1,25,78%,Decrease,7%,80%,Average,71%,Decrease,5%,56%,62%,Decrease,5%,41%,79%,Decrease,13%,61%,,,,,,,,,,,,
2041,Ashland SD 5,375,Bellview Elementary School,Christine McCollom,Grade(s) K-5,E,Jackson,324,*,5,22%,36%,84%,18,13,1,10%,No,25,No Change,,25,88%,Increase,1%,80%,Average,67%,Decrease,2%,51%,61%,Decrease,3%,44%,89%,Increase,4%,65%,,,,,,,,,,,,
2041,Ashland SD 5,377,Helman Elementary School,Michelle Cuddeback,Grade(s) K-5,E,Jackson,352,*,6,11%,27%,75%,18,7,1,11%,No,25.5,Increase,2,25,85%,Decrease,6%,80%,High,73%,Increase,7%,51%,66%,Increase,4%,44%,78%,Decrease,7%,65%,,,,,,,,,,,,
2041,Ashland SD 5,4476,John Muir Elementary School,Rebecca Gyarmathy,Grade(s) K-8,E,Jackson,122,*,2,12%,29%,50%,6,4,1,30%,Yes,24,No Change,,25,79%,Increase,7%,80%,High,84%,Increase,8%,54%,74%,Increase,6%,42%,86%,Decrease,2%,64%,,,,,,,,,,,,
2041,Ashland SD 5,379,Walker Elementary School,Tiffany Burns,Grade(s) K-5,E,Jackson,341,6%,6,16%,41%,73%,17,8,1,16%,No,26,Increase,3,25,84%,Decrease,3%,80%,Average,48%,Decrease,4%,51%,44%,Decrease,3%,44%,71%,Decrease,9%,65%,,,,,,,,,,,,
2051,Ashwood SD 8,427,Ashwood Elementary School,Melanie Friend,Grade(s) K-8,E,Jefferson,6,*,1,*,*,*,1,0,0,0%,No,6,Increase,3,25,*,No Change,,80%,*,*,No Change,,54%,*,No Change,,42%,*,No Change,,64%,,,,,,,,,,,,
1933,Astoria SD 1,143,Astor Elementary School,Kate Gohr,Grade(s) K-2,E,Clatsop,425,10%,4,15%,51%,96%,25,11,1,8%,No,22,Increase,1,25,87%,Increase,4%,80%,*,53%,Increase,9%,,50%,Increase,6%,,*,No Change,,,,,,,,,,,,,,
1933,Astoria SD 1,144,Astoria Middle School,Linda Berger,Grade(s) 6-8,M,Clatsop,430,9%,5,12%,49%,93%,23,9,1,4%,No,27,Increase,1,25,86%,Increase,3%,80%,Average,51%,Increase,2%,56%,40%,Increase,3%,41%,56%,Decrease,1%,61%,,,,,,,,,,,,
1933,Astoria SD 1,146,Astoria Senior High School,Lynn Jackson,Grade(s) 9-12,H,Clatsop,571,9%,10,13%,36%,95%,30,12,3,13%,No,24,Decrease,1,25,76%,Increase,3%,80%,,,,,,,,,,,,,,81%,Increase,2%,85%,63%,Decrease,10%,77%,76%,Decrease,6%,83%
1933,Astoria SD 1,147,Lewis & Clark Elementary School,Brian Ploghoft,Grade(s) 3-5,E,Clatsop,431,11%,3,14%,50%,94%,23,10,1,15%,No,26,Increase,2,25,89%,Increase,4%,80%,Average,50%,Increase,1%,51%,38%,Decrease,1%,44%,60%,Decrease,8%,65%,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,1053,Athena Elementary School,Laure Quaresma,Grade(s) K-3,E,Umatilla,153,*,1,12%,69%,91%,11,3,0,15%,Yes,19,Decrease,5,25,83%,Increase,6%,80%,*,40%,Increase,1%,48%,44%,No Change,,47%,*,No Change,,,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,1055,Weston Middle School,Ann Vescio,Grade(s) 4-8,M,Umatilla,238,*,1,17%,58%,97%,13,3,0,12%,No,23,No Change,,25,81%,Increase,5%,80%,Average,45%,Increase,1%,55%,34%,Decrease,6%,41%,62%,Decrease,2%,64%,,,,,,,,,,,,
2208,Athena-Weston SD 29RJ,1056,Weston-McEwen High School,Rollie Marshall,Grade(s) 9-12,H,Umatilla,168,*,2,14%,45%,98%,12,4,0,8%,Yes,16,Decrease,2,25,74%,Increase,5%,80%,,,,,,,,,,,,,,87%,Decrease,6%,85%,87%,Increase,2%,77%,88%,Decrease,8%,83%
1894,Baker SD 5J,4759,Baker Early College,John Martin,Grade(s) 9-12,H,Baker,295,*,5,*,25%,*,0,0,5,-1,No,*,No Change,,,*,No Change,,80%,,,,,,,,,,,,,,*,No Change,,85%,93%,Increase,5%,77%,93%,Increase,3%,83%
