"school_id","school_name","enroll","reg_attend","ela","math","street","city","state","zip","address","lon","lat","reg_attend_pctile","ela_pctile","math_pctile","enroll_scaled","optional"
498,"Adel Elementary School",7,NA,NA,NA,"18286 Twenty Mile Rd","Adel","OR",97620,"18286 Twenty Mile Rd, Adel, OR 97620",-119.9369376,42.1328281,NA,NA,NA,2.01171783454418,TRUE
707,"Adrian Elementary School",215,88,73,56,"207 Owyhee St.","Adrian","OR",97901,"207 Owyhee St., Adrian, OR 97901",-117.0701086,43.7417405,0.79915611814346,0.871590909090909,0.784090909090909,2.49917975158191,TRUE
708,"Adrian High School",96,78,NA,NA,"305 Owyhee St","Adrian","OR",97901,"305 Owyhee St, Adrian, OR 97901",-117.0675456,43.7424183,0.30126582278481,NA,NA,2.22029528943051,TRUE
17,"Alsea Charter School",162,56,NA,NA,"301 S Third","Alsea","OR",97324,"301 S Third, Alsea, OR 97324",-123.5946008,44.3812429,0.0362869198312236,NA,NA,2.37497070541364,TRUE
1208,"Amity Elementary School",355,85,50,43,"300 Rice Ln","Amity","OR",97101,"300 Rice Ln, Amity, OR 97101",-123.203213,45.122507,0.627004219409283,0.4375,0.520454545454546,2.82727911881884,TRUE
1210,"Amity High School",262,73,NA,NA,"503 Oak St","Amity","OR",97101,"503 Oak St, Amity, OR 97101",-123.2020444,45.1163019,0.156962025316456,NA,NA,2.60932739629716,TRUE
1209,"Amity Middle School",183,77,35,24,"115 Church St","Amity","OR",97101,"115 Church St, Amity, OR 97101",-123.2052275,45.1134222,0.270042194092827,0.115909090909091,0.128409090909091,2.42418561049918,TRUE
4505,"Eola Hills Charter School",36,43,NA,NA,"9015 Community Club Rd","Amity","OR",97101,"9015 Community Club Rd, Amity, OR 97101",-123.3198586,45.0648959,0.0236286919831224,NA,NA,2.0796812749004,TRUE
705,"Annex Charter School",83,78,30,25,"402 Annex Rd","Ontario","OR",97914,"402 Annex Rd, Ontario, OR 97914",-116.987087,44.237356,0.30126582278481,0.0681818181818182,0.1375,2.18982891961566,TRUE
323,"Arlington Community Charter School",149,76,NA,NA,"1200 Main St","Arlington","OR",97812,"1200 Main St, Arlington, OR 97812",-120.1999591,45.712426,0.238818565400844,NA,NA,2.34450433559878,TRUE
